ID,Group,Sex,Session,Trial,Change,FoodSide,CorrectIncorrect,Delay,VisualBlock,RepeatTot,ITI,ReacTime,Side,Front,Locomotion,Pace,Anxiety,Vocalization,Threat,Fear,Affiliative,Locomotion_ITI,Pace_ITI,Anxiety_ITI,Vocalization_ITI,Threat_ITI,Fear_ITI,Affiliative_ITI
zp08,nursery,male,2,2,0,L,1,3,1,0,6,11,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
zp08,nursery,male,2,3,1,R,0,3,1,0,10,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,4,0,R,1,3,1,2,72,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,5,0,R,1,3,1,0,6,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
zp08,nursery,male,2,6,1,L,1,3,1,0,6,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,7,0,L,1,3,1,0,8,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,8,0,L,1,3,1,0,7,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,9,0,R,0,3,1,0,7,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
zp08,nursery,male,2,10,0,R,0,2,1,0,39,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,11,0,R,1,1,1,4,193,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,12,0,R,1,1,1,0,8,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
zp08,nursery,male,2,13,1,L,0,1,1,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp08,nursery,male,2,14,0,L,1,1,1,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp08,nursery,male,2,15,0,L,1,1,1,0,9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,16,1,R,1,1,1,0,10,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zp08,nursery,male,2,17,0,R,1,1,1,0,7,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,18,0,R,1,1,1,0,28,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp08,nursery,male,2,19,1,L,0,1,1,0,8,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,20,0,L,0,1,1,0,26,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
zp08,nursery,male,2,21,0,L,1,1,1,0,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp08,nursery,male,2,22,0,L,1,1,1,0,45,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
zp08,nursery,male,2,23,1,R,1,1,1,0,8,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
zp08,nursery,male,2,24,0,R,1,1,1,0,8,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zp08,nursery,male,2,25,0,R,1,1,1,0,23,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
zp11,mother,male,1,1,0,L,1,3,1,0,,0,1,1,0,0,0,0,0,0,0,,,,,,,
